Census Tract,Total Population,ZIP,Nearby City,Longitude,Latitude,Drinking Water,geometry
6037271500,3192,90066,Los Angeles,-118.4382414,34.0166822,579.13,POINT (-118.4382414 34.0166822)
6037189400,3247,90068,Los Angeles,-118.3211428,34.1200812,766.84,POINT (-118.3211428 34.1200812)
6037262200,4779,90077,Los Angeles,-118.4698011,34.1017214,680.74,POINT (-118.4698011 34.1017214)
6037262303,3188,90049,Los Angeles,-118.4868492,34.0660696,667.5,POINT (-118.4868492 34.0660696)
6037262301,2749,90049,Los Angeles,-118.4912444,34.0918293,815.12,POINT (-118.4912444 34.0918293)
6037262100,2844,90077,Los Angeles,-118.4570806,34.1085369,733.51,POINT (-118.4570806 34.1085369)
6037261200,4341,90077,Los Angeles,-118.4418058,34.1132765,734.74,POINT (-118.4418058 34.1132765)
6037265420,1908,90049,Los Angeles,-118.4594426,34.0704417,438.52,POINT (-118.4594426 34.0704417)
6037262302,2976,90049,Los Angeles,-118.4768353,34.0751025,675.02,POINT (-118.4768353 34.0751025)
6037262400,3076,90049,Los Angeles,-118.508627,34.0918093,834.31,POINT (-118.508627 34.0918093)
6037265301,11235,90024,Los Angeles,-118.4454343,34.0710687,438.52,POINT (-118.4454343 34.0710687)
6037532400,52,90058,Los Angeles,-118.2109137,34.0029371,710.7,POINT (-118.2109137 34.0029371)
6037701100,1096,90049,Los Angeles,-118.4570058,34.0575852,438.52,POINT (-118.4570058 34.0575852)
6037980009,5,90027,Los Angeles,-118.3009695,34.1412655,766.84,POINT (-118.3009695 34.1412655)
6037980010,189,90012,Los Angeles,-118.2393993,34.0786561,766.84,POINT (-118.2393993 34.0786561)
6037980028,0,90045,Los Angeles,-118.417488,33.942108,485.18,POINT (-118.417488 33.942108)
